model,threshold,accuracy,sensitivity_recall,specificity,precision,f1,tn,fp,fn,tp,flagged_high_risk,flagged_high_risk_percent
reduced_logistic_elastic_net,0.05,0.21724217034617613,0.9973447970666329,0.1434703589449267,0.09919142889478516,0.18043736846921035,11999,71635,21,7888,79523,86.86955856810461
reduced_logistic_elastic_net,0.1,0.3683624089225828,0.9888734353268428,0.3096826649448789,0.11930440088475326,0.21292061417837307,25900,57734,88,7821,65555,71.61115541330304
reduced_logistic_elastic_net,0.2,0.5612116710179915,0.9553673030724491,0.5239376330200636,0.15950687129256297,0.2733719247467438,43819,39815,353,7556,47371,51.74726631200638
reduced_logistic_elastic_net,0.3,0.6795385774990987,0.9142748767227209,0.6573403161393692,0.20148234835186268,0.33019772592355817,54976,28658,678,7231,35889,39.20452683438384
reduced_logistic_elastic_net,0.5,0.8169275640955617,0.7892274623846252,0.8195470741564436,0.29258460673103964,0.4269055842423828,68542,15092,1667,6242,21334,23.30489496739237
reduced_random_forest,0.05,0.3215647291436811,0.9911493235554432,0.25824425472893797,0.1121860465116279,0.20155816106140081,21598,62036,70,7839,69875,76.33024917252001
reduced_random_forest,0.1,0.4903815693171515,0.9694019471488178,0.4450821436257981,0.14177931468091795,0.24737844029296938,37224,46410,242,7667,54077,59.07278546693903
reduced_random_forest,0.2,0.6984368001922594,0.9020103679352636,0.6791854987206161,0.21003974679817458,0.34073649519988536,56803,26831,775,7134,33965,37.102782299028874
reduced_random_forest,0.3,0.8142621500278557,0.7932734859021368,0.8162469808929382,0.28989926993808335,0.42462184020845317,68266,15368,1635,6274,21642,23.64134887429951
reduced_random_forest,0.5,0.9121942693597545,0.5139714249589076,0.9498529306263003,0.4921903378132946,0.5028451261751609,79440,4194,3844,4065,8259,9.021989666058573
reduced_gradient_boosted_trees,0.05,0.11439432834842642,0.9998735617650778,0.03065738814357797,0.0888759019083369,0.16324171457471073,2564,81070,1,7908,88978,97.19803808046491
reduced_gradient_boosted_trees,0.1,0.26846400052434377,0.9949424706031104,0.19976325417892246,0.10520616075725975,0.19029079257602322,16707,66927,40,7869,74796,81.70586500333177
reduced_gradient_boosted_trees,0.2,0.508722676774849,0.9694019471488178,0.46515771097878855,0.14632237871674492,0.25426567396819605,38903,44731,242,7667,52398,57.23867472116929
reduced_gradient_boosted_trees,0.3,0.6502954895513584,0.927930206094323,0.6240404620130569,0.1892372750244959,0.31436465271679764,52191,31443,570,7339,38782,42.36479031711873
reduced_gradient_boosted_trees,0.5,0.815573009405416,0.7984574535339487,0.8171915728053184,0.2923069801888539,0.42794700640395755,68345,15289,1594,6315,21604,23.599838327343434
