model,roc_auc,pr_auc,brier_score,fold
gradient_boosted_trees,0.8991443011695891,0.5400623208081468,0.13021567832505318,1
gradient_boosted_trees,0.8845867529706809,0.5291123060152773,0.1311006204032194,2
gradient_boosted_trees,0.8898966273064957,0.5452405487505372,0.12888950129661633,3
gradient_boosted_trees,0.8905488748298787,0.5294650809538743,0.13018529929408085,4
gradient_boosted_trees,0.8936176657199231,0.540277531653544,0.1322380535554935,5
random_forest,0.8936188922774652,0.5189225699771876,0.07829757407293235,1
random_forest,0.880777098912052,0.5009362473681118,0.08019179338395063,2
random_forest,0.8841042707321116,0.522147169480309,0.07811486813108685,3
random_forest,0.8897659351671386,0.5146970754483304,0.07828327334791511,4
random_forest,0.8885422625881786,0.5085022164115702,0.07962673713490487,5
