model,fold,threshold,accuracy,sensitivity_recall,specificity,precision,f1,tn,fp,fn,tp
gradient_boosted_trees,1,0.1,0.25397345567753565,0.9968394437420987,0.18371495187421535,0.10353883527017267,0.18759293403913638,3073,13654,5,1577
gradient_boosted_trees,1,0.2,0.4981702987601726,0.9823008849557522,0.45238237579960544,0.14504386783647563,0.252765126870527,7567,9160,28,1554
gradient_boosted_trees,1,0.3,0.644327926156535,0.9399494310998736,0.6163687451425839,0.18813259109311742,0.3135146531730972,10310,6417,95,1487
gradient_boosted_trees,1,0.5,0.8183953247036976,0.804677623261694,0.8196927123811801,0.2968057822336209,0.4336569579288026,13711,3016,309,1273
gradient_boosted_trees,2,0.1,0.2670271451198864,0.9936788874841972,0.19830214623064507,0.10492591109331198,0.18980922482492152,3317,13410,10,1572
gradient_boosted_trees,2,0.2,0.5060899011415151,0.9576485461441213,0.4633825551503557,0.14440949385187304,0.2509732460863083,7751,8976,67,1515
gradient_boosted_trees,2,0.3,0.6524660003277077,0.9184576485461441,0.6273091409099062,0.1890204240926239,0.3135181788758226,10493,6234,129,1453
gradient_boosted_trees,2,0.5,0.8161013709104812,0.7876106194690266,0.8187959586297603,0.29132569558101473,0.4253285543608124,13696,3031,336,1246
gradient_boosted_trees,3,0.1,0.2746190398164837,0.995575221238938,0.2064327135768518,0.1060677486699441,0.191710790578784,3453,13274,7,1575
gradient_boosted_trees,3,0.2,0.513026380468622,0.9690265486725663,0.4698989657440067,0.14740384615384616,0.2558838257386079,7860,8867,49,1533
gradient_boosted_trees,3,0.3,0.653831449014146,0.9209860935524652,0.628564596161894,0.18996088657105606,0.3149589277993947,10514,6213,125,1457
gradient_boosted_trees,3,0.5,0.8180676170189525,0.7882427307206068,0.82088838404974,0.29389582842328543,0.42815450643776826,13731,2996,335,1247
gradient_boosted_trees,4,0.1,0.26021411404850336,0.9943109987357776,0.1907808202798039,0.10411702409319566,0.1884961054523667,3191,13535,9,1573
gradient_boosted_trees,4,0.2,0.5062267861044352,0.9677623261694058,0.4625732392682052,0.14553231939163497,0.253016030408197,7737,8989,51,1531
gradient_boosted_trees,4,0.3,0.6505352851212585,0.9254108723135271,0.6245366495276815,0.1890495867768595,0.3139609693330474,10446,6280,118,1464
gradient_boosted_trees,4,0.5,0.8175660913261962,0.797724399494311,0.8194427836900634,0.29472209248014947,0.4304229195088677,13706,3020,320,1262
gradient_boosted_trees,5,0.1,0.2600502512562814,0.9962049335863378,0.1904704968015783,0.1041942312781159,0.1886566449062706,3186,13541,6,1575
gradient_boosted_trees,5,0.2,0.5040965698055495,0.9721695129664769,0.4598553237281043,0.14538403329549754,0.25294166049535094,7692,9035,44,1537
gradient_boosted_trees,5,0.3,0.6467118199694123,0.9342188488298545,0.6195372750642674,0.18836883050631298,0.3135215453194651,10363,6364,104,1477
gradient_boosted_trees,5,0.5,0.8122132401136115,0.8032890575585073,0.8130567346206732,0.2888332954287014,0.4248912679826029,13600,3127,311,1270
random_forest,1,0.1,0.44464471025178876,0.9816687737041719,0.39385424762360255,0.13282586383852207,0.23399126111194818,6588,10139,29,1553
random_forest,1,0.2,0.6650827461903982,0.9304677623261695,0.6399832605966401,0.19642380571123566,0.3243719700308506,10705,6022,110,1472
random_forest,1,0.3,0.7947457534545852,0.8211125158027813,0.7922520475877324,0.2720988688730624,0.40874764002517305,13252,3475,283,1299
random_forest,1,0.5,0.9108088918018461,0.5461441213653603,0.9452980211633886,0.4856661045531197,0.5141326986016067,15812,915,718,864
random_forest,2,0.1,0.45256431263313124,0.9740834386852086,0.4032402702217971,0.13373253493013973,0.2351774132010683,6745,9982,41,1541
random_forest,2,0.2,0.6701075973564914,0.9108723135271808,0.6473366413582831,0.1963215258855586,0.32302174400358663,10828,5899,141,1441
random_forest,2,0.3,0.7919602381342509,0.804677623261694,0.7907574580020327,0.2667085690341504,0.4006294256490952,13227,3500,309,1273
random_forest,2,0.5,0.9050740073188049,0.5246523388116309,0.9410533867400012,0.45704845814977973,0.4885226603884638,15741,986,752,830
random_forest,3,0.1,0.45496750232126276,0.9759797724399494,0.4056913971423447,0.13443622115803222,0.2363205020280095,6786,9941,38,1544
random_forest,3,0.2,0.6696160358293736,0.9032869785082175,0.647515992108567,0.1950853242320819,0.3208712248793084,10831,5896,153,1429
random_forest,3,0.3,0.7989513354088154,0.804677623261694,0.7984097566808155,0.27405812701829924,0.4088646218082544,13355,3372,309,1273
random_forest,3,0.5,0.9104811841171009,0.5360303413400759,0.9458958569976684,0.4837421563034798,0.5085457271364318,15822,905,734,848
random_forest,4,0.1,0.4469630762508193,0.9829329962073325,0.3962692813583642,0.13344203209473957,0.23498299962221383,6628,10098,27,1555
random_forest,4,0.2,0.6696526108804894,0.9152970922882427,0.6464187492526605,0.19668568323825047,0.32379248658318427,10812,5914,134,1448
random_forest,4,0.3,0.7986126283591872,0.8236409608091024,0.7962453664952768,0.27658671195075357,0.41411091689178453,13318,3408,279,1303
