variable_1,variable_2,spearman_rho,abs_spearman_rho
paco2_apache,paco2_for_ph_apache,1.0,1.0
d1_inr_max,h1_inr_max,1.0,1.0
d1_inr_min,h1_inr_min,1.0,1.0
h1_albumin_max,h1_albumin_min,0.999713852820528,0.999713852820528
h1_bun_max,h1_bun_min,0.9995556413307589,0.9995556413307589
h1_bilirubin_max,h1_bilirubin_min,0.9994880088695778,0.9994880088695778
h1_creatinine_max,h1_creatinine_min,0.9993037224014718,0.9993037224014718
d1_diasbp_max,d1_diasbp_noninvasive_max,0.9980127618466883,0.9980127618466883
h1_wbc_max,h1_wbc_min,0.9975558790098364,0.9975558790098364
h1_platelets_max,h1_platelets_min,0.9973032538791146,0.9973032538791146
d1_diasbp_min,d1_diasbp_noninvasive_min,0.9968731507597625,0.9968731507597625
d1_sysbp_min,d1_sysbp_noninvasive_min,0.9968076284440426,0.9968076284440426
d1_sysbp_max,d1_sysbp_noninvasive_max,0.9967681792854656,0.9967681792854656
h1_mbp_min,h1_mbp_noninvasive_min,0.996645286569468,0.996645286569468
h1_sysbp_max,h1_sysbp_noninvasive_max,0.9963402765222898,0.9963402765222898
d1_mbp_min,d1_mbp_noninvasive_min,0.9961753659462008,0.9961753659462008
h1_sysbp_min,h1_sysbp_noninvasive_min,0.9932525264247308,0.9932525264247308
h1_diasbp_max,h1_diasbp_noninvasive_max,0.9925301371109901,0.9925301371109901
h1_mbp_max,h1_mbp_noninvasive_max,0.9924817077021109,0.9924817077021109
d1_mbp_max,d1_mbp_noninvasive_max,0.9921931283272826,0.9921931283272826
h1_lactate_max,h1_lactate_min,0.9916348515530512,0.9916348515530512
h1_calcium_max,h1_calcium_min,0.9914824899692113,0.9914824899692113
h1_diasbp_min,h1_diasbp_noninvasive_min,0.9909663238476004,0.9909663238476004
h1_hco3_max,h1_hco3_min,0.9909111636473282,0.9909111636473282
bun_apache,d1_bun_max,0.9901462541016981,0.9901462541016981
bilirubin_apache,d1_bilirubin_max,0.9897908835587141,0.9897908835587141
creatinine_apache,d1_creatinine_min,0.9806207171340396,0.9806207171340396
creatinine_apache,d1_creatinine_max,0.9791364058093646,0.9791364058093646
d1_platelets_max,h1_platelets_max,0.9729747157002987,0.9729747157002987
hematocrit_apache,d1_hematocrit_min,0.9728292893950492,0.9728292893950492
d1_hemaglobin_min,d1_hematocrit_min,0.9713292354857245,0.9713292354857245
d1_bun_max,h1_bun_max,0.9708165988942641,0.9708165988942641
d1_bun_max,h1_bun_min,0.9703466474578912,0.9703466474578912
d1_bun_max,d1_bun_min,0.9702352631084556,0.9702352631084556
bun_apache,d1_bun_min,0.9702183921957969,0.9702183921957969
d1_platelets_max,h1_platelets_min,0.9702174901020871,0.9702174901020871
d1_creatinine_max,d1_creatinine_min,0.9680899819594299,0.9680899819594299
