raw_feature,in_top_logistic_coefficients,in_top_permutation_importance,apache_style_concept
age,True,True,age
apache_2_bodysystem,True,True,diagnosis/body system
apache_2_diagnosis,True,True,diagnosis/body system
apache_3j_bodysystem,True,True,diagnosis/body system
apache_3j_diagnosis,True,True,diagnosis/body system
bmi,False,True,additional signal
bun_apache,False,True,renal/urine
creatinine_apache,False,True,renal/urine
d1_albumin_min,False,True,labs/metabolic
d1_arterial_pco2_min,False,True,additional signal
d1_arterial_po2_min,False,True,additional signal
d1_bun_max,False,True,renal/urine
d1_bun_min,True,True,renal/urine
d1_creatinine_max,False,True,renal/urine
d1_glucose_min,False,True,labs/metabolic
d1_heartrate_max,True,True,additional signal
d1_heartrate_min,False,True,additional signal
d1_hemaglobin_max,False,True,additional signal
d1_hemaglobin_min,True,True,additional signal
d1_hematocrit_min,True,True,additional signal
d1_lactate_min,True,True,additional signal
d1_mbp_min,False,True,map/blood pressure
d1_platelets_max,False,True,additional signal
d1_platelets_min,False,True,additional signal
d1_resprate_max,False,True,additional signal
d1_resprate_min,False,True,additional signal
d1_sodium_max,False,True,labs/metabolic
d1_sodium_min,False,True,labs/metabolic
d1_spo2_min,False,True,additional signal
d1_sysbp_min,False,True,map/blood pressure
d1_sysbp_noninvasive_min,False,True,map/blood pressure
d1_temp_min,False,True,additional signal
d1_wbc_max,False,True,labs/metabolic
d1_wbc_min,True,True,labs/metabolic
elective_surgery,True,True,additional signal
gcs_eyes_apache,False,True,gcs
gcs_motor_apache,False,True,gcs
gcs_verbal_apache,False,True,gcs
gender,True,False,additional signal
h1_heartrate_min,False,True,additional signal
h1_resprate_min,False,True,additional signal
h1_sysbp_noninvasive_min,False,True,map/blood pressure
hospital_admit_source,True,False,additional signal
hospital_id,True,True,additional signal
icu_admit_source,True,True,additional signal
icu_id,True,True,additional signal
icu_stay_type,True,False,additional signal
icu_type,True,False,additional signal
pre_icu_los_days,False,True,additional signal
resprate_apache,False,True,additional signal
solid_tumor_with_metastasis,False,True,additional signal
urineoutput_apache,False,True,renal/urine
ventilated_apache,True,True,ventilation/intubation
weight,False,True,additional signal
