transformed_feature,coefficient,raw_feature,abs_coefficient
icu_admit_source_Operating Room / Recovery,-0.5329370343114715,icu_admit_source,0.5329370343114715
apache_3j_diagnosis_403.01,0.5264608234736119,apache_3j_diagnosis,0.5264608234736119
age,0.5091668999950769,age,0.5091668999950769
apache_3j_diagnosis_102.01,0.49583740983652713,apache_3j_diagnosis,0.49583740983652713
apache_2_diagnosis_114.0,0.4800693162731553,apache_2_diagnosis,0.4800693162731553
apache_3j_diagnosis_410.01,-0.4543827543535867,apache_3j_diagnosis,0.4543827543535867
apache_3j_diagnosis_1207.01,-0.45436970285036365,apache_3j_diagnosis,0.45436970285036365
hospital_id_76.0,0.4345144928513038,hospital_id,0.4345144928513038
apache_2_diagnosis_124.0,-0.43265730897067917,apache_2_diagnosis,0.43265730897067917
apache_3j_bodysystem_Metabolic,-0.4015667091324606,apache_3j_bodysystem,0.4015667091324606
apache_2_bodysystem_Metabolic,-0.4015667091324606,apache_2_bodysystem,0.4015667091324606
apache_2_diagnosis_121.0,0.399800361447338,apache_2_diagnosis,0.399800361447338
apache_3j_diagnosis_1206.03,-0.3676652976551819,apache_3j_diagnosis,0.3676652976551819
gender_F,-0.3543112831335661,gender,0.3543112831335661
apache_2_diagnosis_217.0,0.3538766843573711,apache_2_diagnosis,0.3538766843573711
apache_2_diagnosis_120.0,-0.34899803613161196,apache_2_diagnosis,0.34899803613161196
apache_3j_diagnosis_407.01,-0.34899803613161196,apache_3j_diagnosis,0.34899803613161196
apache_3j_diagnosis_401.01,0.34435047082551895,apache_3j_diagnosis,0.34435047082551895
hospital_id_188.0,-0.33839943097939196,hospital_id,0.33839943097939196
d1_bun_min,0.33602443764602924,d1_bun_min,0.33602443764602924
hospital_id_112.0,-0.32399063438984377,hospital_id,0.32399063438984377
d1_heartrate_max,0.3086102840725951,d1_heartrate_max,0.3086102840725951
ventilated_apache,0.3043859171596767,ventilated_apache,0.3043859171596767
hospital_id_21.0,0.30029280952777104,hospital_id,0.30029280952777104
apache_3j_diagnosis_703.03,-0.2967994880237703,apache_3j_diagnosis,0.2967994880237703
apache_2_diagnosis_122.0,-0.291624483127365,apache_2_diagnosis,0.291624483127365
hospital_id_176.0,0.28561256056980644,hospital_id,0.28561256056980644
apache_2_bodysystem_Undefined diagnoses,-0.2761122248954297,apache_2_bodysystem,0.2761122248954297
apache_3j_diagnosis_502.01,-0.27264370733729104,apache_3j_diagnosis,0.27264370733729104
hospital_id_26.0,0.27221974347640343,hospital_id,0.27221974347640343
apache_2_diagnosis_118.0,-0.2722073239320965,apache_2_diagnosis,0.2722073239320965
apache_2_diagnosis_203.0,-0.26805371771979364,apache_2_diagnosis,0.26805371771979364
apache_2_diagnosis_308.0,-0.26554887988946435,apache_2_diagnosis,0.26554887988946435
icu_type_CSICU,-0.265446432811998,icu_type,0.265446432811998
icu_id_236.0,0.2651455943432527,icu_id,0.2651455943432527
hospital_id_174.0,0.25790960872793767,hospital_id,0.25790960872793767
d1_lactate_min,0.25747670910908715,d1_lactate_min,0.25747670910908715
d1_hemaglobin_min,-0.25274896739958663,d1_hemaglobin_min,0.25274896739958663
icu_id_376.0,-0.25267888090647384,icu_id,0.25267888090647384
d1_hematocrit_min,0.2522498200143151,d1_hematocrit_min,0.2522498200143151
hospital_id_55.0,-0.2500313045123384,hospital_id,0.2500313045123384
icu_stay_type_admit,-0.24389540707377563,icu_stay_type,0.24389540707377563
apache_2_diagnosis_107.0,0.2412011041137925,apache_2_diagnosis,0.2412011041137925
apache_3j_diagnosis_202.01,0.2412011041137925,apache_3j_diagnosis,0.2412011041137925
elective_surgery,-0.2410817394706446,elective_surgery,0.2410817394706446
hospital_admit_source_Acute Care/Floor,-0.24102703340863457,hospital_admit_source,0.24102703340863457
gender_M,-0.23966893847335213,gender,0.23966893847335213
icu_id_513.0,0.2374735711984006,icu_id,0.2374735711984006
d1_wbc_min,0.2358920243764761,d1_wbc_min,0.2358920243764761
apache_2_diagnosis_119.0,0.2340274726880404,apache_2_diagnosis,0.2340274726880404
apache_2_diagnosis_302.0,-0.23231292025910924,apache_2_diagnosis,0.23231292025910924
apache_3j_diagnosis_1501.01,0.2278284075845331,apache_3j_diagnosis,0.2278284075845331
hospital_id_196.0,0.22545664676270752,hospital_id,0.22545664676270752
gcs_motor_apache,-0.22504554879131455,gcs_motor_apache,0.22504554879131455
apache_3j_bodysystem_Cardiovascular,-0.22366755651912862,apache_3j_bodysystem,0.22366755651912862
hospital_id_133.0,0.2221386238172108,hospital_id,0.2221386238172108
icu_admit_source_Accident & Emergency,-0.2218452327383961,icu_admit_source,0.2218452327383961
apache_2_diagnosis_219.0,-0.2206688888757277,apache_2_diagnosis,0.2206688888757277
d1_creatinine_max,-0.21976301595620884,d1_creatinine_max,0.21976301595620884
d1_hemaglobin_max,-0.2180016666424305,d1_hemaglobin_max,0.2180016666424305
d1_platelets_min,-0.216993764984497,d1_platelets_min,0.216993764984497
